symbol,market,cname,ename
PVH,UN,PVH公司,PVH CORP
BRK/A,UN,波克夏海瑟威公司,BERKSHIRE HATHAWAY INC-CL A
BRK/B,UN,波克夏海瑟威公司,BERKSHIRE HATHAWAY INC-CL B
HTZ,UN,赫茲全球控股公司,HERTZ GLOBAL HLDGS INC
ITUB,UN,伊塔烏聯合集團,ITAU UNIBANCO H-SPON PRF ADR
OXY,UN,西方石油,OCCIDENTAL PETROLEUM CORP
PRU,UN,保德信金融,PRUDENTIAL FINANCIAL INC
SYY,UN,西斯柯公司,SYSCO CORP
UA,UN,安德瑪公司,UNDER ARMOUR INC-CLASS C
UAA,UN,安德瑪公司,UNDER ARMOUR INC-CLASS A
BDX,UN,碧迪醫療器械有限公司,BECTON DICKINSON AND CO
DVN,UN,戴文能源,DEVON ENERGY CORP
EMR,UN,艾默生電氣,EMERSON ELECTRIC CO
MOS,UN,美盛公司,MOSAIC CO/THE
NEM,UN,紐蒙特公司,NEWMONT CORP
NUS,UN,如新企業公司,NU SKIN ENTERPRISES INC - A
VIV,UN,巴西電信有限責任公司,TELEFONICA BRASIL-ADR
ALB,UN,雅保公司,ALBEMARLE CORP
CVS,UN,CVS保健公司,CVS HEALTH CORP
ROK,UN,洛克威爾自動化公司,ROCKWELL AUTOMATION INC
SPR,UN,勢必銳航太有限公司,SPIRIT AEROSYSTEMS HOLD-CL A
ZTO,UN,中通快遞（開曼）有限公司,ZTO EXPRESS CAYMAN INC-ADR
APD,UN,氣體產品與化學,AIR PRODUCTS & CHEMICALS INC
DIS,UN,華特迪士尼公司,WALT DISNEY CO/THE
EOG,UN,依歐格資源,EOG RESOURCES INC
JCI,UN,江森自控國際公司,JOHNSON CONTROLS INTERNATION
RL,UN,雷夫羅倫公司,RALPH LAUREN CORP
TDC,UN,天睿資訊公司,TERADATA CORP
TEVA,UN,梯瓦製藥工業有限公司,TEVA PHARMACEUTICAL-SP ADR
TM,UN,豐田汽車公司,TOYOTA MOTOR CORP -SPON ADR
DUK,UN,杜克能源公司,DUKE ENERGY CORP
KR,UN,克羅格公司,KROGER CO
ORCL,UN,甲骨文公司,ORACLE CORP
FDX,UN,聯邦快遞公司,FEDEX CORP
ACN,UN,埃森哲有限公司,ACCENTURE PLC-CL A
CCL,UN,嘉年華公司,CARNIVAL CORP
GIS,UN,通用磨坊公司,GENERAL MILLS INC
NKE,UN,耐吉公司,NIKE INC -CL B
GWRE,UN,凱德維亞軟體公司,GUIDEWIRE SOFTWARE INC
GME,UN,遊戲驛站公司,GAMESTOP CORP-CLASS A
OMC,UN,奧姆尼康集團,OMNICOM GROUP
AMX,UN,美洲移動通訊公司,AMERICA MOVIL SAB DE CV
BHP,UN,必和必拓集團有限公司,BHP GROUP LTD-SPON ADR
AAL,UW,美國航空集團公司,AMERICAN AIRLINES GROUP INC
SU,UN,森科能源公司,SUNCOR ENERGY INC
DG,UN,達樂公司,DOLLAR GENERAL CORP
HDB,UN,HDFC Bank Ltd,HDFC BANK LTD-ADR
NOW,UN,ServiceNow公司,SERVICENOW INC
UBER,UN,優步科技公司,UBER TECHNOLOGIES INC
DB,UN,德意志銀行,DEUTSCHE BANK AG-REGISTERED
MCO,UN,穆迪,MOODY'S CORP
NIO,UN,蔚來集團,NIO INC - ADR
RACE,UN,法拉利公司,FERRARI NV
ATI,UN,ATI公司,ATI INC
SHOP,UN,Shopify公司,SHOPIFY INC - CLASS A
RH,UN,RH,RH
LMND,UN,Lemonade公司,LEMONADE INC
SHAK,UN,搖克夏公司,SHAKE SHACK INC - CLASS A
RTX,UN,雷神科技公司,RTX CORP
TDOC,UN,Teladoc公司,TELADOC HEALTH INC
SE,UN,海洋有限公司,SEA LTD-ADR
NEE,UN,新紀元能源公司,NEXTERA ENERGY INC
FIS,UN,富達全國資訊服務,FIDELITY NATIONAL INFO SERV
GPN,UN,環匯公司,GLOBAL PAYMENTS INC
